"","X","CITY","STABBR","INSTNM","MAIN","INSTURL","PREDDEG","CONTROL","UGDS","ADM_RATE","SAT_AVG","ACTCMMID","TUITIONFEE_IN","TUITIONFEE_OUT","C150_4","LONGITUDE","LATITUDE"
"1715",1715,"Wake Forest","NC","Southeastern Baptist Theological Seminary",1,"www.sebts.edu",3,2,502,0.746,1061.44920634921,23.2588331963846,7682,7682,0.2581,-78.513855,35.98097
"1716",1716,"Dobson","NC","Surry Community College",1,"www.surry.edu",2,1,2318,1,1061.44920634921,23.2588331963846,2412,8556,0.510104098765432,-80.716834,36.384334
"1717",1717,"Graham","NC","Alamance Community College",1,"www.alamancecc.edu",2,1,3781,1,1061.44920634921,23.2588331963846,2175,7935,0.510104098765432,-79.357657,36.066683
"1718",1718,"Murphy","NC","Tri-County Community College",1,"www.tricountycc.edu",2,1,814,1,1061.44920634921,23.2588331963846,2363,8507,0.510104098765432,-83.966476,35.067021
"1719",1719,"Henderson","NC","Vance-Granville Community College",1,"www.vgcc.edu",2,1,3062,1,1061.44920634921,23.2588331963846,1838,6434,0.510104098765432,-78.487283,36.323421
"1720",1720,"Winston-Salem","NC","Wake Forest University",1,"www.wfu.edu",3,2,4861,0.3441,1061.44920634921,23.2588331963846,46200,46200,0.8822,-80.279004,36.135301
"1721",1721,"Raleigh","NC","Wake Technical Community College",1,"www.waketech.edu/",2,1,19942,1,1061.44920634921,23.2588331963846,2640,8784,0.510104098765432,-78.706126,35.650151
"1722",1722,"Swannanoa","NC","Warren Wilson College",1,"www.warren-wilson.edu",3,2,819,0.7177,1134,26,30852,30852,0.51,-82.441097,35.611762
"1723",1723,"Goldsboro","NC","Wayne Community College",1,"www.waynecc.edu",2,1,2773,1,1061.44920634921,23.2588331963846,2396,8540,0.510104098765432,-77.944887,35.403279
"1724",1724,"Morganton","NC","Western Piedmont Community College",1,"www.wpcc.edu",2,1,1772,1,1061.44920634921,23.2588331963846,2417,8561,0.510104098765432,-81.687345,35.722876
"1725",1725,"Wilkesboro","NC","Wilkes Community College",1,"www.wilkescc.edu",2,1,1983,1,1061.44920634921,23.2588331963846,2444,8588,0.510104098765432,-81.184468,36.136572
"1726",1726,"Wilson","NC","Wilson Community College",1,"www.wilsoncc.edu",2,1,1307,1,1061.44920634921,23.2588331963846,2393,8537,0.510104098765432,-77.892872,35.731096
"1727",1727,"Wingate","NC","Wingate University",1,"www.wingate.edu",3,2,1941,0.7506,1001,21,26300,26300,0.5081,-80.444465,34.979384
"1728",1728,"Winston Salem","NC","Carolina Christian College",1,"www.carolina.edu",3,2,36,1,1061.44920634921,23.2588331963846,4025,4025,1,-80.192792,36.148443
"1729",1729,"Winston-Salem","NC","Winston-Salem State University",1,"www.wssu.edu",3,1,4743,0.6016,859,18,5583,15113,0.4575,-80.224905,36.089197
"1730",1730,"Cullowhee","NC","Western Carolina University",1,"www.wcu.edu",3,1,8603,0.4311,1035,22,6305,16698,0.5829,-83.182104,35.311102
"1731",1731,"Bismarck","ND","Bismarck State College",1,"www.bismarckstate.edu",2,1,3212,1,1061.44920634921,23.2588331963846,3520,8200,0.4184,-100.817975,46.820651
"1732",1732,"Dickinson","ND","Dickinson State University",1,"www.dickinsonstate.edu",3,1,1231,0.6103,957,21,6050,8495,0.3531,-102.800511,46.882677
"1733",1733,"New Town","ND","Nueta Hidatsa Sahnish College",1,"www.fortbertholdcc.edu/default.htm",2,1,137,1,1061.44920634921,23.2588331963846,4210,4210,0.3846,-102.472814,47.983311
"1734",1734,"Jamestown","ND","University of Jamestown",1,"www.uj.edu",3,2,866,0.6436,1178,26,19170,19170,0.4869,-98.697209,46.915402
"1735",1735,"Devils Lake","ND","Lake Region State College",1,"www.lrsc.edu",2,1,662,1,1061.44920634921,23.2588331963846,4074,4074,0.510104098765432,-98.869034,48.127948
"1736",1736,"Fort Totten","ND","Cankdeska Cikana Community College",1,"www.littlehoop.edu",2,1,145,1,1061.44920634921,23.2588331963846,3300,3300,0.510104098765432,-98.990801,47.978122
"1737",1737,"Bismarck","ND","University of Mary",1,"www.umary.edu/",3,2,1928,0.7865,1050,23,15665,15665,0.4611,-100.752386,46.724893
"1738",1738,"Mayville","ND","Mayville State University",1,"www.mayvillestate.edu/default.aspx",3,1,784,1,1061.44920634921,23.2588331963846,6489,8894,0.4157,-97.322545,47.504671
"1739",1739,"Minot","ND","Minot State University",1,"www.minotstateu.edu",3,1,2570,0.5768,1035,23,6225,6225,0.399,-101.300624,48.246877
"1740",1740,"Grand Forks","ND","University of North Dakota",1,"und.edu",3,1,10978,0.86,1090,24,7741,18409,0.5549,-97.073451,47.919774
"1741",1741,"Wahpeton","ND","North Dakota State College of Science",1,"https://www.ndscs.edu",2,1,2067,1,1061.44920634921,23.2588331963846,4438,10850,0.510104098765432,-96.607896,46.275964
"1742",1742,"Bottineau","ND","Dakota College at Bottineau",1,"www.dakotacollege.edu",2,1,465,1,1061.44920634921,23.2588331963846,4098,5749,0.510104098765432,-100.441103,48.832505
"1743",1743,"Fargo","ND","North Dakota State University-Main Campus",1,"https://www.ndsu.edu",3,1,11763,0.8274,1092,24,7940,18969,0.5608,-96.805689,46.894523
"1744",1744,"Williston","ND","Williston State College",1,"www.willistonstate.edu",2,1,575,1,1061.44920634921,23.2588331963846,4445,4833,0.510104098765432,-103.613066,48.158603
"1745",1745,"Fort Yates","ND","Sitting Bull College",1,"www.sittingbull.edu",2,1,246,1,1061.44920634921,23.2588331963846,3910,3910,0.0882,-100.744844,46.033384
"1746",1746,"Ellendale","ND","Trinity Bible College",1,"trinitybiblecollege.edu/",3,2,212,0.3645,946,20,14620,14620,0.3871,-98.517906,46.001037
"1747",1747,"Belcourt","ND","Turtle Mountain Community College",1,"www.tm.edu",2,2,457,1,1061.44920634921,23.2588331963846,2250,2250,0.2075,-99.750836,48.883758
"1748",1748,"Bismarck","ND","United Tribes Technical College",1,"www.uttc.edu/",2,2,434,1,1061.44920634921,23.2588331963846,5210,5210,0.4429,-100.760705,46.768773
"1749",1749,"Valley City","ND","Valley City State University",1,"www.vcsu.edu",3,1,952,0.9027,1020,22,6674,15070,0.4805,-98.001762,46.919144
"1750",1750,"Cincinnati","OH","The Art Institute of Cincinnati-AIC College of Design",1,"www.aic-arts.edu",2,3,36,0.7391,1061.44920634921,23.2588331963846,23341,23341,0.7222,-84.451296,39.285831
"1751",1751,"Akron","OH","University of Akron Main Campus",1,"www.uakron.edu",3,1,18148,0.9571,1050,23,10260,18792,0.4156,-81.510328,41.077768
"1752",1752,"Salem","OH","Allegheny Wesleyan College",1,"awc.edu",2,2,53,1,1061.44920634921,23.2588331963846,4800,4800,0.375,-80.860091,40.867236
"1753",1753,"Cincinnati","OH","Antonelli College-Cincinnati",1,"www.antonellicollege.edu",2,3,173,1,1061.44920634921,23.2588331963846,15980,15980,0.510104098765432,-84.510764,39.103991
"1754",1754,"Cincinnati","OH","Art Academy of Cincinnati",1,"www.artacademy.edu",3,2,201,0.2434,961,21,26376,26376,0.617,-84.497573,39.108382
"1755",1755,"Ashland","OH","Ashland University",1,"https://www.ashland.edu",3,2,3227,0.7257,1048,23,19852,19852,0.5684,-82.320621,40.860987
"1756",1756,"Canton","OH","Aultman College of Nursing and Health Sciences",1,"www.aultmancollege.edu",2,2,356,0.75,1085,24,19263,19263,0.5,-81.404182,40.796865
