"","X","CITY","STABBR","INSTNM","MAIN","INSTURL","PREDDEG","CONTROL","UGDS","ADM_RATE","SAT_AVG","ACTCMMID","TUITIONFEE_IN","TUITIONFEE_OUT","C150_4","LONGITUDE","LATITUDE"
"1",1,"Normal","AL","Alabama A & M University",1,"www.aamu.edu/",3,1,4206,0.5256,827,17,9096,16596,0.3525,-86.568502,34.783368
"2",2,"Birmingham","AL","University of Alabama at Birmingham",1,"www.uab.edu",3,1,11383,0.8569,1107,24,7510,17062,0.5554,-86.80917,33.50223
"3",3,"Montgomery","AL","Amridge University",1,"www.amridgeuniversity.edu",3,2,291,1,1061.44920634921,23.2588331963846,6900,6900,0.2222,-86.17401,32.362609
"4",4,"Huntsville","AL","University of Alabama in Huntsville",1,"www.uah.edu",3,1,5451,0.8203,1219,27,9158,21232,0.4614,-86.63842,34.722818
"5",5,"Montgomery","AL","Alabama State University",1,"www.alasu.edu",3,1,4811,0.5326,851,18,8720,15656,0.2632,-86.295677,32.364317
"6",6,"Tuscaloosa","AL","The University of Alabama",1,"www.ua.edu/",3,1,29851,0.5105,1185,27,9826,24950,0.6566,-87.545766,33.2144
"7",7,"Alexander City","AL","Central Alabama Community College",1,"www.cacc.edu",2,1,1592,1,1061.44920634921,23.2588331963846,3491,6576,0.510104098765432,-85.94653,32.924429
"8",8,"Athens","AL","Athens State University",1,"www.athens.edu",3,1,2991,1,1061.44920634921,23.2588331963846,5032.29961089494,17349.8388367161,0.510104098765432,-86.96514,34.805625
"9",9,"Montgomery","AL","Auburn University at Montgomery",1,"www.aum.edu",3,1,4304,0.8017,1009,22,9080,19640,0.2194,-86.177351,32.369939
"10",10,"Auburn","AL","Auburn University",1,"www.auburn.edu",3,1,20514,0.8347,1215,27,10200,27384,0.7086,-85.482782,32.604685
"11",11,"Birmingham","AL","Birmingham Southern College",1,"www.bsc.edu/",3,2,1180,0.5339,1181,27,31708,31708,0.6422,-86.853636,33.515453
"12",12,"Phenix City","AL","Chattahoochee Valley Community College",1,"www.cv.edu",2,1,1727,1,1061.44920634921,23.2588331963846,4320,7710,0.510104098765432,-85.031485,32.42391
"13",13,"Selma","AL","Concordia College Alabama",1,"www.ccal.edu/",3,2,322,0.5328,942,21,10320,10320,0.25,-87.023531,32.42443
"14",14,"Enterprise","AL","Enterprise State Community College",1,"www.escc.edu",2,1,1729,1,1061.44920634921,23.2588331963846,3976,7140,0.510104098765432,-85.836956,31.297496
"15",15,"Bay Minette","AL","James H Faulkner State Community College",1,"www.faulknerstate.edu",2,1,4286,1,1061.44920634921,23.2588331963846,4260,7650,0.510104098765432,-87.779758,30.852045
"16",16,"Montgomery","AL","Faulkner University",1,"www.faulkner.edu",3,2,2367,1,1061.44920634921,23.2588331963846,18750,18750,0.3073,-86.21641,32.384181
"17",17,"Gadsden","AL","Gadsden State Community College",1,"www.gadsdenstate.edu",2,1,4917,1,1061.44920634921,23.2588331963846,3168,5880,0.510104098765432,-85.991299,33.991866
"18",18,"Dothan","AL","George C Wallace State Community College-Dothan",1,"www.wallace.edu",2,1,4293,1,1061.44920634921,23.2588331963846,3960,7350,0.510104098765432,-85.46355,31.316086
"19",19,"Hanceville","AL","George C Wallace State Community College-Hanceville",1,"www.wallacestate.edu",2,1,4920,1,1061.44920634921,23.2588331963846,4260,7650,0.510104098765432,-86.781745,34.07341
"20",20,"Selma","AL","George C Wallace State Community College-Selma",1,"www.wccs.edu",2,1,1513,1,1061.44920634921,23.2588331963846,3960,7350,0.510104098765432,-87.01324,32.445611
"21",21,"Montgomery","AL","Huntingdon College",1,"www.huntingdon.edu",3,2,1149,0.5839,1026,22,24550,24550,0.4506,-86.285313,32.350939
"22",22,"Florence","AL","Heritage Christian University",1,"www.hcu.edu",3,2,62,1,1061.44920634921,23.2588331963846,9792,9792,0.5,-87.662062,34.859089
"23",23,"Huntsville","AL","J F Drake State Community and Technical College",1,"www.drakestate.edu",2,1,974,1,1061.44920634921,23.2588331963846,3384,6096,0.510104098765432,-86.573817,34.772116
"24",24,"Jacksonville","AL","Jacksonville State University",1,"www.jsu.edu/",3,1,7060,0.8326,1041,23,7092,13884,0.3009,-85.766644,33.822128
"25",25,"Brewton","AL","Jefferson Davis Community College",1,"www.jdcc.edu",2,1,1033,1,1061.44920634921,23.2588331963846,3968,7358,0.510104098765432,-87.085829,31.101995
"26",26,"Birmingham","AL","Jefferson State Community College",1,"www.jeffstateonline.com",2,1,7443,1,1061.44920634921,23.2588331963846,4320,7710,0.510104098765432,-86.707387,33.652439
"27",27,"Tanner","AL","John C Calhoun State Community College",1,"www.calhoun.edu",2,1,9380,1,1061.44920634921,23.2588331963846,4260,7650,0.510104098765432,-86.949131,34.65428
"28",28,"Marion","AL","Judson College",1,"www.judson.edu",3,2,376,0.6525,1061.44920634921,23.2588331963846,16258,16258,0.4316,-87.316127,32.630526
"29",29,"Birmingham","AL","Lawson State Community College-Birmingham Campus",1,"www.lawsonstate.edu",2,1,2905,1,1061.44920634921,23.2588331963846,4290,7710,0.510104098765432,-86.890234,33.451673
"30",30,"Livingston","AL","University of West Alabama",1,"www.uwa.edu",3,1,1916,0.7199,990,21,8018,14886,0.329,-88.186077,32.59244
"31",31,"Andalusia","AL","Lurleen B Wallace Community College",1,"www.lbwcc.edu",2,1,1393,1,1061.44920634921,23.2588331963846,4230,7620,0.510104098765432,-86.452262,31.322947
"32",32,"Marion","AL","Marion Military Institute",1,"www.marionmilitary.edu",2,1,433,0.6139,1055,22,8778,14778,0.510104098765432,-87.317998,32.622359
"33",33,"Fairfield","AL","Miles College",1,"www.miles.edu",3,2,1778,1,1061.44920634921,23.2588331963846,11604,11604,0.2017,-86.908605,33.481306
"34",34,"Mobile","AL","University of Mobile",1,"www.umobile.edu",3,2,1460,0.5847,1014,22,19475,19475,0.4106,-88.128934,30.793247
"35",35,"Montevallo","AL","University of Montevallo",1,"www.montevallo.edu",3,1,2644,0.743,1070,23,10660,21220,0.4438,-86.865099,33.10625
"36",36,"Muscle Shoals","AL","Northwest-Shoals Community College",1,"www.nwscc.edu",2,1,3304,1,1061.44920634921,23.2588331963846,4231,7621,0.510104098765432,-87.67733,34.739567
"37",37,"Florence","AL","University of North Alabama",1,"www.una.edu",3,1,5485,0.6788,1029,22,7412,13268,0.3887,-87.680999,34.80658
"38",38,"Rainsville","AL","Northeast Alabama Community College",1,"www.nacc.edu",2,1,2225,1,1061.44920634921,23.2588331963846,4260,7650,0.510104098765432,-85.911664,34.545471
"39",39,"Huntsville","AL","Oakwood University",1,"www.oakwood.edu",3,2,1878,0.4787,928,20,16720,16720,0.4371,-86.661628,34.756628
"40",40,"Monroeville","AL","Alabama Southern Community College",1,"www.ascc.edu",2,1,1180,1,1061.44920634921,23.2588331963846,4260,7650,0.510104098765432,-87.326352,31.488925
"41",41,"Elmhurst","IL","Prince Institute-Southeast",1,"princeinstitute.edu",2,3,84,1,1061.44920634921,23.2588331963846,9685,9685,0.510104098765432,-87.962922,41.928952
"42",42,"Mobile","AL","Bishop State Community College",1,"www.bishop.edu",2,1,2927,1,1061.44920634921,23.2588331963846,4260,7650,0.510104098765432,-88.056982,30.693972
"43",43,"Birmingham","AL","Samford University",1,"www.samford.edu",3,2,3033,0.5954,1165,26,27324,27324,0.661,-86.790932,33.464578
"44",44,"Selma","AL","Selma University",1,"selmauniversity.edu",3,2,472,1,1061.44920634921,23.2588331963846,6680,6680,0.2147,-87.033826,32.420358
"45",45,"Tuscaloosa","AL","Shelton State Community College",1,"www.sheltonstate.edu",2,1,4755,1,1061.44920634921,23.2588331963846,3960,7350,0.510104098765432,-87.56148,33.120531
"46",46,"Boaz","AL","Snead State Community College",1,"www.snead.edu",2,1,2098,1,1061.44920634921,23.2588331963846,4320,7710,0.510104098765432,-86.169479,34.201247
"47",47,"Mobile","AL","University of South Alabama",1,"www.southalabama.edu",3,1,11267,0.8335,1048,23,7188,14076,0.3824,-88.18189,30.695081
"48",48,"Mobile","AL","Spring Hill College",1,"www.shc.edu",3,2,1215,0.5177,1116,25,32468,32468,0.5814,-88.138199,30.694751
"49",49,"Birmingham","AL","Southeastern Bible College",1,"www.sebc.edu",3,2,170,1,930,20,11370,11370,0.1765,-86.749045,33.378935
"50",50,"Tuscaloosa","AL","Stillman College",1,"www.stillman.edu",3,2,1056,0.5901,811,17,15865,15865,0.2036,-87.585242,33.199228
"51",51,"Talladega","AL","Talladega College",1,"www.talladega.edu",3,2,819,1,1061.44920634921,23.2588331963846,12509,12509,0.443,-86.113675,33.434258
"52",52,"Troy","AL","Troy University",1,"www.troy.edu",3,1,15025,0.4414,1050,23,7564,14092,0.3498,-85.950191,31.800128
"53",53,"Tuskegee","AL","Tuskegee University",1,"www.tuskegee.edu",3,2,2588,0.4922,978,22,19570,19570,0.4723,-85.710315,32.431021
"54",54,"Daphne","AL","United States Sports Academy",1,"www.ussa.edu",3,2,90,1,1061.44920634921,23.2588331963846,24703.6852264291,17349.8388367161,0.510104098765432,-87.91163,30.639329
"55",55,"Jasper","AL","Bevill State Community College",1,"www.bscc.edu",2,1,3210,1,1061.44920634921,23.2588331963846,4290,7680,0.510104098765432,-87.265034,33.835785
"56",56,"Anchorage","AK","University of Alaska Anchorage",1,"www.uaa.alaska.edu",3,1,12865,1,1061.44920634921,23.2588331963846,5494,16466,0.2504,-149.826135,61.189554
"57",57,"Palmer","AK","Alaska Bible College",1,"www.akbible.edu/",3,2,27,1,1061.44920634921,23.2588331963846,9300,9300,0.510104098765432,-149.111341,61.59843
"58",58,"Fairbanks","AK","University of Alaska Fairbanks",1,"www.uaf.edu",3,1,5536,1,1061.44920634921,23.2588331963846,5246,16238,0.3224,-147.822943,64.856483
"59",59,"Anchorage","AK","Alaska Pacific University",1,"www.alaskapacific.edu",3,2,275,0.4207,1054,23,19610,19610,0.6,-149.804242,61.191235
"60",60,"Phoenix","AZ","American Indian College Inc",1,"www.aicag.edu/",3,2,89,1,1061.44920634921,23.2588331963846,11700,11700,0.1765,-112.092247,33.577738
"61",61,"Flagstaff","AZ","CollegeAmerica-Flagstaff",1,"www.collegeamerica.edu",2,2,176,1,1061.44920634921,23.2588331963846,16968,16968,0.4641,-111.65739,35.194607
"62",62,"Tempe","AZ","Arizona State University-Tempe",1,"www.asu.edu/",3,1,39316,0.8433,1145,25,10157,24503,0.6343,-111.934629,33.422247
"63",63,"Tucson","AZ","University of Arizona",1,"www.arizona.edu",3,1,32646,0.7462,1061.44920634921,23.2588331963846,10957,29421,0.6026,-110.950769,32.232071
"64",64,"Tucson","AZ","Southwest University of Visual Arts-Tucson",1,"www.suva.edu",3,3,161,1,1061.44920634921,23.2588331963846,23069,23069,0.9623,-110.927321,32.252384
"65",65,"Coolidge","AZ","Central Arizona College",1,"www.centralaz.edu",2,1,5275,1,1061.44920634921,23.2588331963846,2400,10440,0.510104098765432,-111.652501,32.957092
"66",66,"Douglas","AZ","Cochise County Community College District",1,"www.cochise.edu",2,1,3759,1,1061.44920634921,23.2588331963846,1800,6000,0.510104098765432,-109.690422,31.365757
"67",67,"Phoenix","AZ","Grand Canyon University",1,"www.gcu.edu",3,3,38905,0.5757,1061.44920634921,23.2588331963846,17050,17050,0.2788,-112.129917,33.512172
"68",68,"Tsaile","AZ","Dine College",1,"www.dinecollege.edu",2,1,1420,1,1061.44920634921,23.2588331963846,725,725,0.1487,-109.21684,36.293328
"69",69,"Flagstaff","AZ","Northern Arizona University",1,"nau.edu/",3,1,23189,0.8099,1061.44920634921,23.2588331963846,9990,22510,0.5157,-111.657653,35.180095
"70",70,"Prescott","AZ","Prescott College",1,"www.prescott.edu",3,2,454,0.6873,1073,24,26415,26415,0.3483,-112.476509,34.5445
"71",71,"Scottsdale","AZ","Scottsdale Community College",1,"www.scottsdalecc.edu",2,1,7335,1,1061.44920634921,23.2588331963846,2046,7830,0.510104098765432,-111.887298,33.509489
"72",72,"Phoenix","AZ","South Mountain Community College",1,"www.southmountaincc.edu",2,1,3653,1,1061.44920634921,23.2588331963846,2046,7830,0.510104098765432,-112.057515,33.381001
"73",73,"Phoenix","AZ","Arizona Christian University",1,"www.arizonachristian.edu",3,2,620,0.5673,988,22,22466,22466,0.6119,-112.026211,33.595117
"74",74,"Avondale","AZ","Universal Technical Institute of Arizona Inc",1,"www.uti.edu",2,3,2340,1,1061.44920634921,23.2588331963846,15260.8861985472,17349.8388367161,0.510104098765432,-112.289693,33.453533
"75",75,"Tempe","AZ","Western International University",1,"www.west.edu",3,3,996,1,1061.44920634921,23.2588331963846,6000,6000,0.0235,-111.964182,33.403625
"76",76,"Little Rock","AR","University of Arkansas at Little Rock",1,"ualr.edu/www/",3,1,7942,0.5928,1048,23,7432,17764,0.2654,-92.341835,34.726644
"77",77,"Little Rock","AR","University of Arkansas for Medical Sciences",1,"www.uams.edu",3,1,711,1,1061.44920634921,23.2588331963846,5032.29961089494,17349.8388367161,0.510104098765432,-92.320945,34.749718
"78",78,"Little Rock","AR","Arkansas Baptist College",1,"www.arkansasbaptist.edu",2,2,896,1,1061.44920634921,23.2588331963846,8040,8040,0.194,-92.290555,34.734751
"79",79,"Batesville","AR","Lyon College",1,"www.lyon.edu",3,2,690,0.6142,1109,25,24300,24300,0.4902,-91.628115,35.778934
"80",80,"Fayetteville","AR","University of Arkansas",1,"www.uark.edu",3,1,21405,0.6204,1155,26,8210,20300,0.6228,-94.178214,36.06153
"81",81,"Pine Bluff","AR","University of Arkansas at Pine Bluff",1,"www.uapb.edu",3,1,2391,0.3868,886,19,6178,11908,0.2721,-92.021263,34.242192
"82",82,"Jonesboro","AR","Arkansas State University-Main Campus",1,"www2.astate.edu",3,1,9139,0.7239,1088,24,7720,13480,0.393,-90.680478,35.842779
"83",83,"Russellville","AR","Arkansas Tech University",1,"www.atu.edu",3,1,8845,0.8626,1010,22,5862,10878,0.4455,-93.13233,35.295227
"84",84,"Monticello","AR","University of Arkansas at Monticello",1,"www.uamont.edu/",2,1,2885,1,1061.44920634921,23.2588331963846,6082,12052,0.2844,-91.812971,33.589788
"85",85,"Conway","AR","University of Central Arkansas",1,"www.uca.edu",3,1,9232,0.9426,1049,23,7889,13806,0.4467,-92.45931,35.078196
"86",86,"Conway","AR","Central Baptist College",1,"www.cbc.edu",3,2,788,0.5697,985,21,13800,13800,0.3173,-92.444102,35.084574
"87",87,"Paragould","AR","Crowley's Ridge College",1,"www.crc.edu/",2,2,173,1,1061.44920634921,23.2588331963846,11800,11800,0.1935,-90.58482,36.066239
"88",88,"Hot Springs","AR","National Park Community College",1,"www.np.edu",2,1,2269,1,1061.44920634921,23.2588331963846,3140,4540,0.510104098765432,-93.117111,34.512731
"89",89,"Searcy","AR","Harding University",1,"www.harding.edu",3,2,4485,0.9912,1131,25,17040,17040,0.6255,-91.729008,35.249605
"90",90,"Arkadelphia","AR","Henderson State University",1,"www.hsu.edu",3,1,3226,0.6278,989,21,7860,14220,0.3619,-93.060313,34.127792
"91",91,"Conway","AR","Hendrix College",1,"www.hendrix.edu",3,2,1322,0.8282,1244,28,39290,39290,0.7256,-92.442021,35.09972
"92",92,"Siloam Springs","AR","John Brown University",1,"www.jbu.edu",3,2,1742,0.6978,1061.44920634921,23.2588331963846,23588,23588,0.6059,-94.559088,36.191077
"93",93,"Arkadelphia","AR","Ouachita Baptist University",1,"www.obu.edu",3,2,1455,0.7061,1112,25,23320,23320,0.5817,-93.052442,34.125045
"94",94,"Clarksville","AR","University of the Ozarks",1,"www.ozarks.edu",3,2,578,0.8892,1061,23,24470,24470,0.4769,-93.467924,35.477785
"95",95,"Morrilton","AR","University of Arkansas Community College-Morrilton",1,"www.uaccm.edu",2,1,1920,0.6181,930,20,2732,3788,0.510104098765432,-92.728507,35.172136
"96",96,"Little Rock","AR","Philander Smith College",1,"www.philander.edu",3,2,565,1,1061.44920634921,23.2588331963846,12564,12564,0.3857,-92.28242,34.73666
"97",97,"Mena","AR","Rich Mountain Community College",1,"www.rmcc.edu",2,1,533,1,1061.44920634921,23.2588331963846,2352,5280,0.510104098765432,-94.2197,34.590793
"98",98,"N Little Rock","AR","Shorter College",1,"www.shortercollege.org/",2,2,403,1,1061.44920634921,23.2588331963846,4200,4200,0.510104098765432,-92.261331,34.75933
"99",99,"Walnut Ridge","AR","Williams Baptist College",1,"www.wbcoll.edu",3,2,508,0.7049,983,21,14360,14360,0.4056,-90.939876,36.126825
"100",100,"Magnolia","AR","Southern Arkansas University Main Campus",1,"WWW.SAUMAG.EDU",3,1,2784,0.7142,989,21,7736,11186,0.3061,-93.235087,33.291195
"101",101,"Fort Smith","AR","University of Arkansas-Fort Smith",1,"uafs.edu/",3,1,5990,0.5629,1061.44920634921,23.2588331963846,4727,10511,0.2578,-94.374073,35.385345
"102",102,"San Francisco","CA","Academy of Art University",1,"www.academyart.edu",3,3,9885,1,1061.44920634921,23.2588331963846,19740,19740,0.3111,-122.400686,37.787748
"103",103,"Alameda","CA","College of Alameda",1,"www.peralta.edu",2,1,5141,1,1061.44920634921,23.2588331963846,1144,6256,0.510104098765432,-122.279261,37.78239
"104",104,"Santa Maria","CA","Allan Hancock College",1,"www.hancockcollege.edu/",2,1,9738,1,1061.44920634921,23.2588331963846,1346,6750,0.510104098765432,-120.421486,34.942979
"105",105,"Lancaster","CA","Antelope Valley College",1,"www.avc.edu",2,1,12367,1,1061.44920634921,23.2588331963846,1104,5664,0.510104098765432,-118.186166,34.676207
"106",106,"Pasadena","CA","Art Center College of Design",1,"www.artcenter.edu",3,2,1814,0.809,1061.44920634921,23.2588331963846,37830,37830,0.6716,-118.186901,34.170844
"107",107,"Azusa","CA","Azusa Pacific University",1,"www.apu.edu",3,2,5918,0.8183,1037,23,33096,33096,0.6716,-117.88795,34.130865
"108",108,"Bakersfield","CA","Bakersfield College",1,"www.bakersfieldcollege.edu/",2,1,16982,1,1061.44920634921,23.2588331963846,1324,7120,0.510104098765432,-118.973491,35.4108
"109",109,"Barstow","CA","Barstow Community College",1,"www.barstow.edu",2,1,1588,1,1061.44920634921,23.2588331963846,1104,5400,0.510104098765432,-117.02523,34.871451
"110",110,"Anaheim","CA","Bethesda University",1,"www.buc.edu",3,2,261,0.6686,1061.44920634921,23.2588331963846,9120,9120,0.75,-117.941323,33.842295
"111",111,"La Mirada","CA","Biola University",1,"www.biola.edu",3,2,4364,0.754,1122,25,33322,33322,0.6891,-118.017342,33.904823
"112",112,"Ventura","CA","Brooks Institute",1,"www.brooks.edu",3,3,415,0.9912,1061.44920634921,23.2588331963846,20112,20112,0.5591,-119.295231,34.33851
"113",113,"Los Angeles","CA","Bryan University",1,"www.bryancollege.edu",2,3,1324,1,1061.44920634921,23.2588331963846,11850,11850,0.0394,-118.302882,34.061406
"114",114,"San Francisco","CA","California Institute of Integral Studies",1,"www.ciis.edu",3,2,104,1,1061.44920634921,23.2588331963846,24703.6852264291,17349.8388367161,0.510104098765432,-122.416537,37.774768
"115",115,"Aptos","CA","Cabrillo College",1,"www.cabrillo.edu",2,1,12423,1,1061.44920634921,23.2588331963846,1358,5698,0.510104098765432,-121.927926,36.9891
"116",116,"Riverside","CA","California Baptist University",1,"www.calbaptist.edu",3,2,6435,0.7967,976,21,29422,29422,0.5538,-117.42587,33.928569
"117",117,"San Francisco","CA","California College of the Arts",1,"www.cca.edu",3,2,1512,0.6369,1061.44920634921,23.2588331963846,41942,41942,0.5425,-122.399941,37.76723
"118",118,"Pasadena","CA","California Institute of Technology",1,"www.caltech.edu",3,2,983,0.0883,1545,35,43362,43362,0.9153,-118.12574,34.139275
"119",119,"Thousand Oaks","CA","California Lutheran University",1,"www.callutheran.edu/",3,2,2799,0.6097,1109,25,37140,37140,0.6577,-118.879467,34.225551
"120",120,"San Luis Obispo","CA","California Polytechnic State University-San Luis Obispo",1,"calpoly.edu",3,1,19177,0.3089,1234,28,8918,20078,0.75,-120.65856,35.29889
"121",121,"Bakersfield","CA","California State University-Bakersfield",1,"www.csub.edu",3,1,7524,0.706,1061.44920634921,23.2588331963846,6792,17952,0.4118,-119.104711,35.350005
"122",122,"Turlock","CA","California State University-Stanislaus",1,"www.csustan.edu",3,1,7844,0.7272,1061.44920634921,23.2588331963846,6686,17846,0.5328,-120.852511,37.52577
"123",123,"San Bernardino","CA","California State University-San Bernardino",1,"www.csusb.edu",3,1,16439,0.8445,884,18,6550,17710,0.4796,-117.322508,34.182987
"124",124,"Pomona","CA","California State Polytechnic University-Pomona",1,"www.cpp.edu",3,1,22269,0.5187,1074,24,6904,18064,0.5638,-117.819019,34.054273
"125",125,"Chico","CA","California State University-Chico",1,"www.csuchico.edu",3,1,15844,0.7096,996,22,7002,18162,0.5926,-121.846333,39.728003
"126",126,"Carson","CA","California State University-Dominguez Hills",1,"www.csudh.edu",3,1,12199,0.4234,1061.44920634921,23.2588331963846,6139,17299,0.3228,-118.259316,33.86524
"127",127,"Fresno","CA","California State University-Fresno",1,"www.csufresno.edu",3,1,20128,0.594,910,19,6299,17459,0.5236,-119.748258,36.814477
"128",128,"Fullerton","CA","California State University-Fullerton",1,"www.fullerton.edu",3,1,32610,0.4447,1021,22,6315,17475,0.5572,-117.885349,33.883627
"129",129,"Hayward","CA","California State University-East Bay",1,"www.csueastbay.edu",3,1,12275,0.7031,1061.44920634921,23.2588331963846,6564,17724,0.3813,-122.058073,37.65707
"130",130,"Long Beach","CA","California State University-Long Beach",1,"www.csulb.edu",3,1,31494,0.3546,1054,23,6452,17612,0.6517,-118.1123,33.782752
"131",131,"Los Angeles","CA","California State University-Los Angeles",1,"www.calstatela.edu",3,1,20643,0.6107,871,18,6348,17508,0.4105,-118.168965,34.066927
"132",132,"Northridge","CA","California State University-Northridge",1,"www.csun.edu",3,1,35409,0.5286,914,19,6549,17709,0.4676,-118.526817,34.23671
"133",133,"Sacramento","CA","California State University-Sacramento",1,"www.csus.edu",3,1,26400,0.7265,937,20,6648,17808,0.4373,-121.42194,38.55745
"134",134,"Berkeley","CA","University of California-Berkeley",1,"www.berkeley.edu",3,1,27126,0.1602,1382,32,12972,35850,0.9069,-122.260423,37.871969
"135",135,"Davis","CA","University of California-Davis",1,"www.ucdavis.edu",3,1,27547,0.4037,1226,28,13896,36774,0.8321,-121.751958,38.539895
"136",136,"Irvine","CA","University of California-Irvine",1,"www.uci.edu/",3,1,24474,0.3742,1168,26,13179,36057,0.8649,-117.841248,33.648434
"137",137,"Los Angeles","CA","University of California-Los Angeles",1,"www.ucla.edu/",3,1,29627,0.1856,1330,30,12705,35583,0.9098,-118.443901,34.068892
"138",138,"Riverside","CA","University of California-Riverside",1,"WWW.UCR.EDU",3,1,18784,0.5829,1128,25,13407,36285,0.6933,-117.331098,33.97588
"139",139,"La Jolla","CA","University of California-San Diego",1,"www.ucsd.edu",3,1,24801,0.3329,1313,30,13427,36305,0.8618,-117.237793,32.876598
"140",140,"Santa Barbara","CA","University of California-Santa Barbara",1,"www.ucsb.edu",3,1,20237,0.3634,1253,29,13865,36743,0.8129,-119.846404,34.416281
"141",141,"Santa Cruz","CA","University of California-Santa Cruz",1,"www.ucsc.edu/",3,1,16277,0.5572,1149,26,13397,36275,0.7734,-122.067993,36.997258
"142",142,"Palo Alto","CA","Sofia University",1,"www.sofia.edu",4,3,16,1,1061.44920634921,23.2588331963846,15260.8861985472,17349.8388367161,0.510104098765432,-122.10866,37.430325
"143",143,"Fresno","CA","California Christian College",1,"www.calchristiancollege.edu",2,2,16,1,1061.44920634921,23.2588331963846,8540,8540,0,-119.711208,36.75031
"144",144,"Valencia","CA","California Institute of the Arts",1,"www.calarts.edu",3,2,946,0.2442,1061.44920634921,23.2588331963846,42260,42260,0.7018,-118.567303,34.393337
"145",145,"Vallejo","CA","The California Maritime Academy",1,"https://www.csum.edu",3,1,1047,0.667,1061.44920634921,23.2588331963846,6536,17696,0.5425,-122.231551,38.069061
"146",146,"Santa Clarita","CA","College of the Canyons",1,"www.canyons.edu",2,1,15204,1,1061.44920634921,23.2588331963846,1154,5474,0.510104098765432,-118.569524,34.403121
"147",147,"Norwalk","CA","Cerritos College",1,"www.cerritos.edu",2,1,18171,1,1061.44920634921,23.2588331963846,1346,7506,0.510104098765432,-118.097263,33.88584
"148",148,"Ridgecrest","CA","Cerro Coso Community College",1,"cerrocoso.edu",2,1,4314,1,1061.44920634921,23.2588331963846,1290,7086,0.510104098765432,-117.667706,35.567763
"149",149,"Hayward","CA","Chabot College",1,"www.chabotcollege.edu",2,1,11968,1,1061.44920634921,23.2588331963846,1138,6970,0.510104098765432,-122.106969,37.642513
"150",150,"Rancho Cucamonga","CA","Chaffey College",1,"www.chaffey.edu",2,1,17284,1,1061.44920634921,23.2588331963846,1153,6073,0.510104098765432,-117.573086,34.14705
"151",151,"Orange","CA","Chapman University",1,"www.chapman.edu",3,2,6211,0.4704,1210,27,45393,45393,0.7448,-117.851481,33.793678
"152",152,"Los Angeles","CA","Charles R Drew University of Medicine and Science",1,"www.cdrewu.edu",2,2,69,1,1061.44920634921,23.2588331963846,12436,12436,0.510104098765432,-118.242791,33.925658
"153",153,"Irvine","CA","Concordia University-Irvine",1,"www.cui.edu",3,2,1884,0.8608,1038,23,30640,30640,0.5583,-117.81063,33.6535
"154",154,"Santee","CA","San Diego Christian College",1,"www.sdcc.edu",3,2,940,0.555,992,22,27090,27090,0.4364,-116.978151,32.84281
"155",155,"Glendora","CA","Citrus College",1,"www.citruscollege.edu",2,1,11388,1,1061.44920634921,23.2588331963846,1176,6144,0.510104098765432,-117.885266,34.135487
"156",156,"Claremont","CA","Claremont McKenna College",1,"www.cmc.edu",3,2,1293,0.1077,1419,32,47395,47395,0.9031,-117.706593,34.102323
"157",157,"Fountain Valley","CA","Coastline Community College",1,"www.coastline.edu",2,1,9503,1,1061.44920634921,23.2588331963846,1136,5432,0.510104098765432,-117.861844,33.609771
"158",158,"San Jose","CA","Cogswell College",1,"www.cogswell.edu",3,3,607,0.438,1061.44920634921,23.2588331963846,16160,16160,0.2857,-121.940553,37.413664
"159",159,"San Diego","CA","Coleman University",1,"www.coleman.edu",2,2,512,1,1061.44920634921,23.2588331963846,20800,20800,0.5745,-117.136493,32.821962
"160",160,"Sonora","CA","Columbia College",1,"www.gocolumbia.edu/",2,1,2191,1,1061.44920634921,23.2588331963846,1150,6406,0.510104098765432,-120.387603,38.030361
"161",161,"Tarzana","CA","Columbia College-Hollywood",1,"www.columbiacollege.edu",3,2,307,0.7849,1061.44920634921,23.2588331963846,18975,18975,0.4889,-118.538394,34.179596
"162",162,"San Pablo","CA","Contra Costa College",1,"www.contracosta.edu",2,1,5333,1,1061.44920634921,23.2588331963846,1298,7038,0.510104098765432,-122.342386,37.968623
"163",163,"Sacramento","CA","Cosumnes River College",1,"www.crc.losrios.edu/",2,1,13378,1,1061.44920634921,23.2588331963846,1104,7272,0.510104098765432,-121.422971,38.453836
"164",164,"Yucaipa","CA","Crafton Hills College",1,"www.craftonhills.edu",2,1,5152,1,1061.44920634921,23.2588331963846,1142,5606,0.510104098765432,-117.100826,34.038513
"165",165,"San Luis Obispo","CA","Cuesta College",1,"www.cuesta.edu",2,1,7864,1,1061.44920634921,23.2588331963846,1234,6408,0.510104098765432,-120.741624,35.329859
"166",166,"El Cajon","CA","Cuyamaca College",1,"www.cuyamaca.edu",2,1,7588,1,1061.44920634921,23.2588331963846,1386,6896,0.510104098765432,-116.941044,32.743072
"167",167,"Cypress","CA","Cypress College",1,"www.cypresscollege.edu",2,1,14817,1,1061.44920634921,23.2588331963846,1138,6226,0.510104098765432,-118.023889,33.827625
"168",168,"Cupertino","CA","De Anza College",1,"www.deanza.edu/",2,1,20317,1,1061.44920634921,23.2588331963846,1542,8247,0.510104098765432,-122.045365,37.319176
